index,data_set,exec_data,exec_time,spread,eff_bw
0,512 kB,1536 kB,62ms,2.6%,1724.6
1,512 kB,2048 kB,62ms,3.7%,1720.0
2,512 kB,2560 kB,61ms,1.3%,1734.9
3,512 kB,3072 kB,61ms,1.4%,1736.4
4,512 kB,3584 kB,62ms,3.2%,1722.3
5,512 kB,4096 kB,63ms,2.8%,1688.8
6,512 kB,4608 kB,61ms,1.9%,1744.9
7,512 kB,5120 kB,61ms,2.2%,1745.7
8,512 kB,5632 kB,61ms,4.0%,1739.5
9,512 kB,6144 kB,61ms,1.7%,1731.7
10,512 kB,6656 kB,61ms,2.0%,1738.8
11,512 kB,7168 kB,61ms,1.4%,1723.8
12,512 kB,7680 kB,61ms,3.3%,1734.5
13,512 kB,8192 kB,61ms,3.6%,1732.1
14,512 kB,8704 kB,61ms,1.7%,1740.8
15,512 kB,9216 kB,61ms,2.6%,1735.4
16,512 kB,9728 kB,61ms,2.2%,1741.4
17,512 kB,10240 kB,62ms,4.2%,1727.9
18,512 kB,11264 kB,62ms,7.5%,1723.1
19,512 kB,12288 kB,61ms,2.2%,1725.9
20,512 kB,13312 kB,62ms,2.0%,1712.1
21,512 kB,14336 kB,61ms,2.2%,1724.6
22,512 kB,15360 kB,61ms,2.3%,1735.9
23,512 kB,16896 kB,61ms,1.7%,1741.7
24,512 kB,18432 kB,62ms,2.4%,1712.6
25,512 kB,19968 kB,61ms,2.1%,1744.3
26,512 kB,21504 kB,61ms,7.2%,1738.3
27,512 kB,23552 kB,61ms,2.0%,1727.6
28,512 kB,25600 kB,61ms,4.0%,1737.6
29,512 kB,28160 kB,61ms,2.9%,1742.8
30,512 kB,30720 kB,62ms,3.9%,1734.3
31,512 kB,33792 kB,62ms,2.1%,1718.3
32,512 kB,36864 kB,62ms,2.5%,1707.5
33,512 kB,40448 kB,167ms,1.4%,632.7
34,512 kB,44032 kB,211ms,1.4%,499.9
35,512 kB,48128 kB,222ms,1.3%,473.9
36,512 kB,52736 kB,223ms,1.0%,471.3
37,512 kB,57856 kB,223ms,2.1%,472.6
38,512 kB,63488 kB,226ms,5.7%,470.5
39,512 kB,69632 kB,225ms,1.3%,469.1
40,512 kB,76288 kB,226ms,4.2%,467.9
41,512 kB,83456 kB,225ms,3.0%,470.3
42,512 kB,91648 kB,224ms,1.2%,469.7
43,512 kB,100352 kB,224ms,1.6%,469.4
44,512 kB,110080 kB,225ms,1.6%,470.7
45,512 kB,120832 kB,224ms,1.7%,470.1
46,512 kB,132608 kB,225ms,1.5%,469.8
47,512 kB,145408 kB,225ms,1.6%,471.0
48,512 kB,159744 kB,225ms,1.9%,469.6
49,512 kB,175616 kB,224ms,1.4%,471.9
50,512 kB,193024 kB,227ms,5.5%,469.6
51,512 kB,211968 kB,225ms,3.8%,469.3
52,512 kB,232960 kB,226ms,2.7%,472.1
53,512 kB,256000 kB,231ms,6.5%,468.5
54,512 kB,281600 kB,225ms,3.0%,470.0
55,512 kB,309760 kB,224ms,1.4%,469.4
56,512 kB,340480 kB,225ms,1.9%,468.6
57,512 kB,374272 kB,225ms,2.4%,469.7
58,512 kB,411648 kB,225ms,1.6%,470.9
59,512 kB,452608 kB,225ms,3.2%,470.1
60,512 kB,497664 kB,226ms,3.6%,468.5
61,512 kB,547328 kB,226ms,4.1%,468.4
62,512 kB,601600 kB,225ms,2.0%,468.9
63,512 kB,661504 kB,226ms,3.0%,468.6
64,512 kB,727552 kB,227ms,5.7%,473.7
65,512 kB,800256 kB,226ms,5.1%,468.5
66,512 kB,880128 kB,225ms,4.2%,469.9
67,512 kB,967680 kB,224ms,3.2%,473.0
68,512 kB,1064448 kB,230ms,6.1%,467.9
69,512 kB,1170432 kB,229ms,10.2%,469.9
70,512 kB,1287168 kB,232ms,8.4%,466.2
71,512 kB,1415680 kB,228ms,9.7%,469.6
72,512 kB,1556992 kB,226ms,2.5%,471.4
73,512 kB,1712640 kB,228ms,4.9%,468.0
74,512 kB,1883648 kB,225ms,1.8%,468.3
75,512 kB,2071552 kB,225ms,3.7%,468.6
76,512 kB,2278400 kB,225ms,1.9%,468.9
77,512 kB,2506240 kB,226ms,1.7%,468.9
78,512 kB,2756608 kB,225ms,1.5%,468.4
79,512 kB,3032064 kB,225ms,1.6%,469.5
80,512 kB,3335168 kB,225ms,2.5%,469.6
81,512 kB,3668480 kB,224ms,1.4%,470.1
82,512 kB,4035072 kB,224ms,1.5%,472.8
83,512 kB,4438528 kB,223ms,1.6%,471.1
84,512 kB,4881920 kB,242ms,13.1%,467.8
